"T"	"index"	"Tmin"	"Delta"	"n2"	"n3"	"n4"	"n5"	"n6"	"n7"	"n8"	"n12"	"On -1"	"On -2/-3"
73	1	74	209	0	0	0	0	0	0	0	1	"""s1:1→1, 73→0"""	""
73	1	75	181	0	0	1	0	0	0	0	1	"""s1:1→1, 73→0 / s2:73→1"""	""
73	1	75	201	0	1	0	0	0	0	0	1	"""s1:1→1, 73→0 / s2:73→1"""	""
73	1	75	209	0	0	0	0	0	0	0	1	"""s1:1→1, 73→1"""	""
73	1	75	219	0	0	0	0	0	1	1	0	"""s1:1→1, 73→0 / s2:73→1"""	""
73	1	75	246	0	0	0	0	1	0	1	0	"""s1:1→1, 73→0 / s2:73→1"""	""
73	1	75	247	0	0	0	0	0	2	0	0	"""s1:1→0, 73→1 / s2:1→1"""	""
73	1	76	157	0	0	0	1	0	0	0	1	"""s1:1→1, 73→0 / s2:73→1"""	""
73	1	76	181	0	0	1	0	0	0	0	1	"""s1:1→0, 73→1 / s2:1→1"""	""
73	1	76	191	0	0	0	0	0	0	2	0	"""s1:1→0, 73→1 / s2:1→1"""	""
73	1	77	131	0	0	0	0	1	0	0	1	"""s1:1→1, 73→0 / s2:73→1"""	""
73	1	77	157	0	0	0	1	0	0	0	1	"""s1:1→0, 73→1 / s2:1→1"""	""
73	1	79	76	0	0	0	0	0	0	1	1	"""s1:1→1, 73→0 / s2:73→1"""	""
73	1	79	104	0	0	0	0	0	1	0	1	"""s1:1→1, 73→0 / s2:73→1"""	""
73	1	84	-39	0	0	0	0	0	0	0	2	"""s1:1→0, 73→1 / s2:1→1"""	""
73	2	74	270	0	1	0	0	0	0	0	0	"""s1:∅"""	"""s1:4→1"""
73	2	77	261	0	2	0	0	0	0	0	0	"""s1:∅ / s2:∅"""	"""s1:4→1 / s2:1→1"""
73	3	74	270	0	1	0	0	0	0	0	0	"""s1:∅"""	"""s1:4→1"""
73	3	78	261	0	2	0	0	0	0	0	0	"""s1:∅ / s2:∅"""	"""s1:4→1 / s2:1→1"""
73	5	74	270	0	1	0	0	0	0	0	0	"""s1:∅"""	"""s1:73→1"""
73	5	77	261	0	2	0	0	0	0	0	0	"""s1:∅ / s2:∅"""	"""s1:4→1 / s2:1→1"""
73	5	78	261	0	2	0	0	0	0	0	0	"""s1:∅ / s2:∅"""	"""s1:73→1 / s2:67→1"""
73	8	74	247	0	0	0	0	1	0	0	0	"""s1:1→1"""	""
73	8	74	273	0	0	0	1	0	0	0	0	"""s1:1→1"""	""
73	8	75	272	1	0	0	1	0	0	0	0	"{""s1:1→1 / s2:70→0, 72→1"", ""s1:1→1 / s2:70→1, 72→0"", ""s1:1→1 / s2:70→1, 72→1""}"	"{""s2:2→1"", ""s2:2→1"", ""s2:2→1""}"
73	8	76	238	0	1	0	0	1	0	0	0	"""s1:1→1 / s2:∅"""	"""s2:73→1"""
73	8	80	272	1	0	0	1	0	0	0	0	"""s1:1→1 / s2:70→0, 72→0"""	"""s2:2→1"""
73	9	74	270	0	1	0	0	0	0	0	0	"""s1:∅"""	"""s1:1→1"""
73	10	74	264	0	0	0	1	0	0	0	0	"""s1:1→1"""	""
73	11	74	272	0	0	0	1	0	0	0	0	"""s1:73→1"""	""
73	12	74	132	0	0	0	0	0	0	0	1	"""s1:73→1"""	""
73	12	74	247	0	0	0	0	0	0	1	0	"""s1:73→1"""	""
73	12	75	239	0	1	0	0	0	0	1	0	"""s1:73→1 / s2:1→1, 2→0"""	""
73	12	78	124	0	1	0	0	0	0	0	1	"""s1:73→1 / s2:1→1, 2→0"""	""
73	12	79	116	0	2	0	0	0	0	0	1	"""s1:73→1 / s2:1→0, 2→1 / s3:1→1"""	""
73	12	79	124	0	1	0	0	0	0	0	1	"""s1:73→1 / s2:1→1, 2→1"""	""
73	13	74	219	0	0	0	0	0	0	1	0	"""s1:73→1"""	""
73	13	74	247	0	0	0	0	0	1	0	0	"""s1:73→1"""	""
73	14	74	247	0	0	0	0	1	0	0	0	"""s1:73→1"""	""
73	14	74	273	0	0	0	1	0	0	0	0	"""s1:73→1"""	""
73	14	75	272	1	0	0	1	0	0	0	0	"{""s1:73→1 / s2:1→0, 2→1, 4→0"", ""s1:73→1 / s2:1→1, 2→1, 4→0""}"	"{""s2:72→1"", ""s2:72→1""}"
73	14	79	272	1	0	0	1	0	0	0	0	"""s1:73→1 / s2:1→0, 2→0, 4→0"""	"""s2:72→1"""
73	15	74	132	0	0	0	0	1	0	0	0	"""s1:73→1"""	""
73	15	74	158	0	0	0	1	0	0	0	0	"""s1:73→1"""	""
73	15	74	182	0	0	1	0	0	0	0	0	"""s1:73→1"""	""
73	15	74	202	0	1	0	0	0	0	0	0	"""s1:73→1"""	""
73	15	74	209	1	0	0	0	0	0	0	0	"""s1:73→0"""	"""s1:72→1"""
73	15	77	201	1	1	0	0	0	0	0	0	"""s1:73→1 / s2:73→0"""	"""s2:72→1"""
73	15	79	181	1	0	1	0	0	0	0	0	"""s1:73→1 / s2:73→0"""	"""s2:72→1"""
73	15	79	209	1	0	0	0	0	0	0	0	"""s1:73→1"""	"""s1:72→1"""
73	15	80	157	1	0	0	1	0	0	0	0	"""s1:73→1 / s2:∅"""	"""s2:72→1"""
73	15	80	193	1	2	0	0	0	0	0	0	"""s1:73→1 / s2:73→1 / s3:73→0"""	"""s3:72→1"""
